분석아이디,학교명,위도,경도,위험지역 사유,기타 상세 사유,행위 구분,데이터기준일자
6097,보성초등학교,33.25136227,126.2742921,골목 등 좁은 길에서 갑자기 차가 튀어나옴,해당없음,등교,2021-01-25
6097,보성초등학교,33.26886216,126.2678861,골목 등 좁은 길에서 갑자기 차가 튀어나옴,해당없음,하교,2021-01-25
6097,보성초등학교,33.26884383,126.2678353,길 주변에 깨진 병 조각 같은 위험한 물건이 많음,해당없음,하교,2021-01-25
6097,보성초등학교,33.26892924,126.268559,돌이 떨어질 것 같음,해당없음,하교,2021-01-25
6097,보성초등학교,33.25126636,126.2740783,신호등이 없음,해당없음,등교,2021-01-25
6097,보성초등학교,33.2516776,126.2746383,위험한 곳이라는 안내시설이 없음,해당없음,등교,2021-01-25
6098,보성초등학교,33.24976469,126.2768968,골목 등 좁은 길에서 갑자기 차가 튀어나옴,해당없음,등교,2021-01-25
6100,대정초등학교,33.22371979,126.2540688,길 주변에 깨진 병 조각 같은 위험한 물건이 많음,해당없음,등교,2021-01-25
6100,대정초등학교,33.2236192,126.2523318,길 주변에 깨진 병 조각 같은 위험한 물건이 많음,해당없음,등교,2021-01-25
6100,대정초등학교,33.22430052,126.254686,길 주변에 깨진 병 조각 같은 위험한 물건이 많음,해당없음,하교,2021-01-25
6100,대정초등학교,33.22356984,126.2501224,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,하교,2021-01-25
6100,대정초등학교,33.22370098,126.2539402,위험한 곳이라는 안내시설이 없음,해당없음,등교,2021-01-25
6100,대정초등학교,33.22316603,126.2489459,인도에 차가 서 있음,해당없음,하교,2021-01-25
6101,대정초등학교,33.22373521,126.2543851,기타,개가 쫓아와요,하교,2021-01-25
6102,대정초등학교,33.22580904,126.2536541,신호등이 없음,해당없음,하교,2021-01-25
6104,대정초등학교,33.22277853,126.2557301,신호등이 없음,해당없음,등교,2021-01-25
6104,대정초등학교,33.22707194,126.2613137,인도에 차가 서 있음,해당없음,등교,2021-01-25
6106,대정초등학교,33.22375368,126.2548355,신호등이 없음,해당없음,등교,2021-01-25
6106,대정초등학교,33.22376283,126.2548569,신호등이 없음,해당없음,등교,2021-01-25
6106,대정초등학교,33.22378073,126.2548353,신호등이 없음,해당없음,하교,2021-01-25
6106,대정초등학교,33.22814462,126.2525937,신호등이 없음,해당없음,활동,2021-01-25
6109,대정초등학교,33.22373521,126.2543851,기타,개가 쫓아와요,하교,2021-01-25
6111,대정초등학교,33.22118529,126.2599473,신호등이 없음,해당없음,등교,2021-01-25
6111,대정초등학교,33.22149342,126.2602128,신호등이 없음,해당없음,등교,2021-01-25
6111,대정초등학교,33.22114942,126.2599797,신호등이 없음,해당없음,하교,2021-01-25
6112,대정초등학교,33.22343965,126.2475999,신호등이 없음,해당없음,등교,2021-01-25
6113,대정초등학교,33.22452246,126.2563684,인도에 차가 서 있음,해당없음,등교,2021-01-25
6113,대정초등학교,33.22433406,126.2565255,인도에 차가 서 있음,해당없음,등교,2021-01-25
6113,대정초등학교,33.22468813,126.2561792,인도에 차가 서 있음,해당없음,하교,2021-01-25
6113,대정초등학교,33.22468816,126.2561846,인도에 차가 서 있음,해당없음,하교,2021-01-25
6114,대정초등학교,33.22366365,126.2557977,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,활동,2021-01-25
6114,대정초등학교,33.22364949,126.2564468,인도에 차가 서 있음,해당없음,등교,2021-01-25
6116,대정초등학교,33.22388508,126.2553225,신호등이 없음,해당없음,등교,2021-01-25
6116,대정초등학교,33.22451533,126.2559286,신호등이 없음,해당없음,등교,2021-01-25
